,WSmax_43,WDmax_43,WS_43,STDwd_43,TD_43,RH_43,TDmax_43,TDmin_43,Grad_43,NIP_43,DiffR_43,WS1mm_43,Ws10mm_43,Time_43,Rain_43,Fail_43,East_43,North-West_43,West_43,South-West_43,South_43,North-East_43,North_43,South-East_43,WSmax_42,WDmax_42,WS_42,STDwd_42,TD_42,RH_42,TDmax_42,TDmin_42,Grad_42,NIP_42,DiffR_42,WS1mm_42,Ws10mm_42,Time_42,Rain_42,North-West_42,South-East_42,South-West_42,East_42,West_42,South_42,North-East_42,North_42,WSmax_41,WDmax_41,WS_41,STDwd_41,TD_41,RH_41,TDmax_41,TDmin_41,Grad_41,NIP_41,DiffR_41,WS1mm_41,Ws10mm_41,Time_41,Rain_41,Fail_41,East_41,North-West_41,West_41,South-West_41,South_41,North-East_41,North_41,South-East_41,WSmax_44,WDmax_44,WS_44,STDwd_44,TD_44,RH_44,TDmax_44,TDmin_44,Grad_44,NIP_44,DiffR_44,WS1mm_44,Ws10mm_44,Time_44,Rain_44,North-West_44,South-West_44,East_44,West_44,South_44,North-East_44,North_44,South-East_44,WSmax_78,WDmax_78,WS_78,STDwd_78,TD_78,RH_78,TDmax_78,TDmin_78,Grad_78,NIP_78,DiffR_78,WS1mm_78,Ws10mm_78,Time_78,Rain_78,South-East_78,South-West_78,East_78,North-West_78,West_78,South_78,North-East_78,North_78,WSmax_67,WDmax_67,WS_67,STDwd_67,TD_67,RH_67,TDmax_67,TDmin_67,Grad_67,NIP_67,DiffR_67,WS1mm_67,Ws10mm_67,Time_67,Rain_67,South-East_67,South-West_67,East_67,North-West_67,West_67,South_67,North-East_67,North_67,WSmax_186,WDmax_186,WS_186,STDwd_186,TD_186,RH_186,TDmax_186,TDmin_186,Grad_186,NIP_186,DiffR_186,WS1mm_186,Ws10mm_186,Time_186,Rain_186,South-East_186,South-West_186,East_186,North-West_186,West_186,South_186,North-East_186,North_186,WSmax_45,WDmax_45,WS_45,STDwd_45,TD_45,RH_45,TDmax_45,TDmin_45,Grad_45,NIP_45,DiffR_45,WS1mm_45,Ws10mm_45,Time_45,Rain_45,South-East_45,South-West_45,East_45,North-West_45,West_45,South_45,North-East_45,North_45,WSmax_343,WDmax_343,WS_343,STDwd_343,TD_343,RH_343,TDmax_343,TDmin_343,Grad_343,NIP_343,DiffR_343,WS1mm_343,Ws10mm_343,Time_343,Rain_343,North-East_343,North-West_343,South-East_343,South-West_343,West_343,North_343,East_343,South_343,WSmax_205,WDmax_205,WS_205,STDwd_205,TD_205,RH_205,TDmax_205,TDmin_205,Grad_205,NIP_205,DiffR_205,WS1mm_205,Ws10mm_205,Time_205,Rain_205,South-East_205,South-West_205,East_205,North-West_205,West_205,South_205,North-East_205,North_205
2019-08-01,,,,,26.18531468531468,72.5874125874126,26.370629370629377,26.00489510489511,330.46153846153845,341.3986013986014,51.88811188811189,,,,0.0,1,0,0,0,0,0,0,0,0,6.19699248120301,271.6616541353383,3.5406015037593965,19.21804511278197,24.733082706766915,80.59398496240601,24.854887218045093,24.61729323308269,351.91729323308266,,,4.722556390977443,3.7060150375939847,1227.6917293233082,0.0,0,1,0,0,0,0,0,0,,,,,28.976923076923075,66.47552447552448,29.16783216783217,28.776223776223787,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.4475524475524475,247.48951048951045,1.9027972027972029,17.934265734265736,27.266433566433573,74.48251748251748,27.466433566433558,27.075524475524468,,,,2.7167832167832167,2.0902097902097885,1173.1748251748252,0.0,0,1,0,0,0,0,0,0,4.342657342657345,298.3636363636364,2.198601398601399,21.582517482517492,27.79510489510489,74.08391608391608,27.96923076923077,27.641258741258742,,,,3.2251748251748253,2.391608391608392,1173.4405594405596,0.0,1,0,0,0,0,0,0,0,5.5496503496503475,262.5244755244755,3.8349650349650335,10.872027972027972,25.972727272727283,78.64335664335664,26.16573426573427,25.789510489510487,331.6503496503496,,,4.68111888111888,4.023776223776225,1173.944055944056,0.0,0,1,0,0,0,0,0,0,4.618881118881119,287.3216783216784,2.293006993006993,23.614685314685307,28.200699300699302,71.74825174825175,28.39650349650348,28.02867132867132,,,,3.3643356643356648,2.5160839160839155,1173.5594405594404,0.0,1,0,0,0,0,0,0,0,4.518881118881117,287.8251748251748,2.5545454545454547,17.791608391608392,26.834265734265745,73.25874125874124,26.976923076923104,26.679020979020986,,,,3.5167832167832165,2.734265734265735,1172.923076923077,0.0,1,0,0,0,0,0,0,0,3.9335664335664333,275.34265734265733,2.2888111888111884,20.63566433566433,28.135664335664345,72.4895104895105,28.354545454545445,27.90979020979021,,,,3.122377622377622,2.4748251748251757,1175.6363636363635,0.0,0,0,1,0,0,0,0,0,8.209090909090909,288.9020979020979,5.483216783216785,12.818881118881118,25.64055944055943,77.37762237762237,25.78181818181818,25.51608391608392,,,,6.7006993006992985,5.732867132867135,1174.5524475524476,0.0,1,0,0,0,0,0,0,0
2019-08-02,,,,,26.17638888888888,72.89583333333333,26.343750000000032,26.016666666666676,245.61111111111111,133.16666666666666,114.61805555555556,,,,0.0,1,0,0,0,0,0,0,0,0,8.139583333333334,255.63194444444446,5.077083333333332,16.676388888888894,24.04305555555557,83.7361111111111,24.17222222222221,23.93541666666667,211.61805555555557,,,6.393749999999999,5.3465277777777755,1181.5902777777776,0.0,0,0,1,0,0,0,0,0,,,,,28.87361111111112,65.7638888888889,29.0875,28.675694444444453,,,,,,,0.0,1,0,0,0,0,0,0,0,0,4.024305555555554,251.22222222222226,2.0118055555555556,21.546527777777772,28.06597222222224,71.59027777777777,28.309027777777786,27.82777777777777,,,,2.94097222222222,2.227083333333334,1181.5277777777776,0.0,0,1,0,0,0,0,0,0,4.672222222222223,286.2638888888889,2.0826388888888885,29.504861111111122,28.433333333333326,70.15972222222223,28.603472222222226,28.26111111111112,,,,3.318750000000001,2.3006944444444444,1181.923611111111,0.0,1,0,0,0,0,0,0,0,6.27430555555556,246.30555555555557,4.459027777777773,10.51666666666666,25.643055555555573,79.70833333333333,25.861805555555566,25.434027777777786,280.7430555555556,,,5.3305555555555575,4.648611111111109,1182.048611111111,0.0,0,1,0,0,0,0,0,0,4.147222222222224,244.0,2.134722222222221,20.150694444444433,27.66666666666667,70.1736111111111,27.912500000000005,27.423611111111132,,,,3.159722222222221,2.3840277777777765,1166.7430555555557,0.0,0,1,0,0,0,0,0,0,5.662499999999998,259.5625,3.1965277777777783,17.268055555555556,27.07638888888888,72.27777777777777,27.269444444444453,26.890277777777786,,,,4.315972222222224,3.4194444444444447,1182.2569444444443,0.0,0,1,0,0,0,0,0,0,4.4826388888888875,262.6805555555556,2.6701388888888893,18.411805555555556,28.31388888888889,71.83333333333333,28.559027777777793,28.082638888888887,,,,3.6090277777777775,2.8652777777777776,1182.2083333333333,0.0,0,0,0,1,0,0,0,0,7.8694444444444445,288.8680555555556,5.184722222222224,12.500694444444456,25.38750000000001,78.02083333333333,25.532638888888894,25.239583333333336,,,,6.391666666666665,5.415972222222222,1181.3541666666667,0.0,1,0,0,0,0,0,0,0
2019-08-03,,,,,26.00000000000001,74.39583333333333,26.15416666666667,25.844444444444445,292.90277777777777,232.32638888888889,95.57638888888887,,,,0.0,1,0,0,0,0,0,0,0,0,7.627777777777778,255.44444444444446,4.80625,15.709722222222226,24.034722222222207,84.74305555555556,24.169444444444448,23.90833333333334,268.5138888888889,,,6.0763888888888875,5.104861111111114,1165.7083333333333,0.0,0,0,1,0,0,0,0,0,,,,,28.786805555555574,67.3263888888889,29.02222222222223,28.584722222222233,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.253472222222223,205.83333333333331,1.6944444444444446,19.052777777777774,27.15347222222222,75.4236111111111,27.415277777777767,26.91249999999998,,,,2.497916666666666,1.870833333333334,1182.75,0.0,0,1,0,0,0,0,0,0,4.078472222222227,273.6736111111111,1.9388888888888896,26.23402777777779,27.839583333333348,73.125,28.03194444444443,27.65138888888889,,,,3.0361111111111097,2.173611111111112,1182.2708333333333,0.0,0,1,0,0,0,0,0,0,5.8583333333333325,245.625,4.028472222222224,11.393749999999995,25.640277777777786,80.7638888888889,25.84513888888889,25.44444444444445,307.6805555555556,,,4.929861111111112,4.220833333333331,1181.9375,0.0,0,1,0,0,0,0,0,0,3.669444444444444,242.88194444444446,1.870833333333333,20.925694444444442,27.456944444444442,72.45833333333333,27.70833333333333,27.22361111111111,,,,2.8173611111111097,2.0875,1181.8125,0.0,0,1,0,0,0,0,0,0,4.670833333333333,256.4236111111111,2.6645833333333333,17.606944444444434,26.88819444444445,74.1111111111111,27.07916666666668,26.713888888888878,,,,3.6118055555555535,2.8444444444444437,1182.3541666666667,0.0,0,1,0,0,0,0,0,0,3.4597222222222204,218.75694444444446,2.044444444444445,19.76319444444444,27.202777777777772,76.24305555555556,27.47777777777777,26.921527777777772,,,,2.796527777777777,2.226388888888889,1181.6319444444443,0.0,0,0,0,1,0,0,0,0,7.686805555555555,289.5555555555556,5.118749999999999,12.136111111111115,25.184722222222234,80.4236111111111,25.334027777777766,25.053472222222208,,,,6.2381944444444475,5.320138888888889,1180.638888888889,0.0,1,0,0,0,0,0,0,0
2019-08-04,,,,,26.44097222222223,76.72222222222223,26.58680555555557,26.31250000000001,315.0555555555556,295.2430555555556,67.34027777777777,,,,0.0,1,0,0,0,0,0,0,0,0,9.170212765957444,235.47517730496452,6.738297872340425,12.582269503546105,23.924822695035445,88.77304964539007,24.041134751773047,23.812765957446803,299.59027777777777,,,7.785815602836879,6.947517730496457,1185.950354609929,0.0,0,0,1,0,0,0,0,0,,,,,28.840277777777786,71.125,29.01388888888889,28.647916666666692,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.751388888888888,181.09027777777774,2.029166666666666,17.879861111111108,27.82083333333333,77.2361111111111,28.02708333333333,27.601388888888888,,,,2.8458333333333337,2.185416666666667,1181.1597222222224,0.0,0,1,0,0,0,0,0,0,3.668055555555557,229.29861111111111,1.7715277777777785,24.24722222222222,27.906944444444452,75.375,28.099305555555567,27.70555555555555,,,,2.6729166666666666,1.9791666666666676,1182.1319444444443,0.0,0,1,0,0,0,0,0,0,6.439583333333331,236.59722222222226,4.368055555555555,12.76527777777778,26.13055555555556,83.08333333333333,26.31736111111111,25.965277777777786,319.3680555555556,,,5.2847222222222205,4.569444444444444,1165.513888888889,0.0,0,1,0,0,0,0,0,0,3.783333333333335,232.00694444444446,2.0423611111111106,18.999999999999996,28.152083333333334,72.93055555555556,28.328472222222228,27.99513888888889,,,,2.9534722222222216,2.230555555555556,1164.7083333333333,0.0,0,1,0,0,0,0,0,0,5.0090277777777805,232.33333333333331,2.9347222222222222,17.156250000000004,26.80763888888889,78.24305555555556,26.972222222222207,26.649305555555554,,,,3.9437499999999983,3.1048611111111115,1181.5625,0.0,0,1,0,0,0,0,0,0,3.9791666666666674,203.38194444444446,2.3798611111111105,18.548611111111104,27.374999999999996,79.34027777777777,27.587500000000034,27.137500000000014,,,,3.2041666666666675,2.554861111111111,1165.923611111111,0.0,0,0,0,1,0,0,0,0,7.025694444444438,287.6111111111111,4.707638888888888,12.988888888888885,25.81666666666668,82.56944444444444,25.95000000000001,25.695138888888888,,,,5.74375,4.907638888888887,1181.1041666666667,0.0,1,0,0,0,0,0,0,0
2019-08-05,,,,,26.738194444444453,76.91666666666667,26.89305555555555,26.570833333333336,321.2361111111111,283.84027777777777,75.06944444444444,,,,0.0,1,0,0,0,0,0,0,0,0,8.665277777777778,239.59722222222226,5.870138888888887,15.89583333333333,24.232638888888896,88.55555555555556,24.352777777777785,24.101388888888888,284.0694444444445,,,7.092361111111108,6.190277777777776,1183.25,0.0,0,0,1,0,0,0,0,0,,,,,29.17291666666667,70.47916666666667,29.34791666666667,28.998611111111106,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.8749999999999982,183.46527777777774,2.0986111111111105,18.66875,28.07291666666667,77.85416666666667,28.28333333333332,27.863194444444442,,,,2.948611111111111,2.260416666666667,1181.763888888889,0.0,0,1,0,0,0,0,0,0,3.809027777777777,238.48611111111111,1.9986111111111107,23.28333333333334,28.28611111111111,75.77777777777777,28.466666666666665,28.10277777777777,,,,2.8763888888888887,2.2118055555555554,1181.888888888889,0.0,0,1,0,0,0,0,0,0,6.599999999999996,235.68055555555557,4.329861111111111,13.43819444444444,26.42430555555556,84.30555555555556,26.59097222222222,26.25625,293.6666666666667,,,5.343055555555557,4.520833333333332,1165.4305555555557,0.0,0,1,0,0,0,0,0,0,4.107638888888889,227.45138888888889,2.24375,19.979166666666664,28.43888888888889,74.0625,28.577083333333324,28.300000000000008,,,,3.22222222222222,2.459027777777778,1182.0347222222224,0.0,0,1,0,0,0,0,0,0,5.141666666666662,230.59722222222226,2.98263888888889,17.215277777777775,26.90763888888889,79.53472222222223,27.056944444444447,26.76736111111112,,,,3.9902777777777767,3.161111111111111,1180.5902777777776,0.0,0,1,0,0,0,0,0,0,3.879861111111107,212.25694444444446,2.370833333333333,17.586111111111116,27.617361111111123,79.84722222222223,27.800694444444453,27.43541666666667,,,,3.1368055555555565,2.519444444444445,1181.048611111111,0.0,0,0,0,1,0,0,0,0,6.364583333333332,273.15972222222223,4.259027777777779,12.907638888888883,25.97083333333333,83.64583333333333,26.106250000000006,25.847916666666666,,,,5.2631944444444505,4.475694444444444,1180.736111111111,0.0,1,0,0,0,0,0,0,0
2019-08-06,,,,,25.892361111111125,69.15277777777777,26.06805555555556,25.727777777777785,310.1944444444445,291.6666666666667,55.90972222222222,,,,0.0,1,0,0,0,0,0,0,0,0,7.18125,245.5625,4.493055555555554,16.648611111111116,23.87569444444444,77.29166666666667,24.027083333333334,23.727083333333322,314.0833333333333,,,5.748611111111113,4.773611111111111,1182.3125,0.0,0,0,1,0,0,0,0,0,,,,,28.63958333333333,62.41666666666666,28.861805555555566,28.418055555555558,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.7625,184.71527777777774,1.995138888888888,19.017361111111125,27.371527777777768,70.6875,27.612499999999994,27.12708333333335,,,,2.8479166666666664,2.165972222222221,1181.701388888889,0.0,0,1,0,0,0,0,0,0,3.834722222222224,232.49305555555557,1.928472222222222,21.70833333333334,27.48333333333333,67.46527777777777,27.709027777777788,27.27638888888889,,,,2.8409722222222222,2.1374999999999997,1181.701388888889,0.0,0,1,0,0,0,0,0,0,5.7256944444444455,233.15277777777774,3.7180555555555577,13.102083333333335,25.784722222222207,75.09722222222223,25.971527777777762,25.613194444444428,322.0763888888889,,,4.637499999999998,3.909722222222225,1180.5,0.0,0,1,0,0,0,0,0,0,4.054166666666667,205.70833333333331,2.2020833333333343,19.715277777777782,27.499305555555555,67.40972222222223,27.665277777777767,27.32291666666667,,,,3.18611111111111,2.41875,1181.1458333333333,0.0,0,1,0,0,0,0,0,0,5.061111111111111,235.47222222222226,2.8270833333333347,17.670833333333327,26.558333333333326,71.06944444444444,26.71666666666665,26.39305555555555,,,,3.9062500000000013,3.011111111111111,1181.8680555555557,0.0,0,1,0,0,0,0,0,0,3.68125,201.54861111111111,2.217361111111112,18.248611111111114,26.804166666666678,74.25694444444444,27.05624999999999,26.562500000000004,,,,2.9979166666666663,2.399305555555556,1181.5625,0.0,0,0,0,1,0,0,0,0,5.554166666666666,275.6805555555556,3.619444444444442,15.502777777777775,25.363194444444453,71.74305555555556,25.52083333333334,25.215277777777786,,,,4.559722222222223,3.8215277777777774,1166.3472222222224,0.0,1,0,0,0,0,0,0,0
2019-08-07,,,,,25.66382978723405,67.53191489361703,25.836879432624112,25.488652482269487,288.1914893617021,268.531914893617,61.730496453900706,,,,0.0,1,0,0,0,0,0,0,0,0,6.7735714285714295,246.25,4.461428571428568,14.164285714285716,23.98071428571428,74.47857142857143,24.094285714285718,23.86214285714284,297.2,,,5.516428571428573,4.705,1175.392857142857,0.0,0,0,1,0,0,0,0,0,,,,,28.189361702127663,62.624113475177296,28.389361702127662,27.986524822695042,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.995035460992906,202.7730496453901,2.163829787234042,19.165957446808513,26.802127659574467,71.02127659574468,26.993617021276602,26.621985815602827,,,,3.0659574468085085,2.3468085106382968,1173.0283687943265,0.0,0,1,0,0,0,0,0,0,3.8404255319148937,233.05673758865245,2.098581560283686,17.957446808510632,26.961702127659567,67.68794326241135,27.158156028368783,26.79007092198581,,,,2.9666666666666663,2.3085106382978724,1189.914893617021,0.0,0,1,0,0,0,0,0,0,5.7929078014184405,236.32624113475174,3.908510638297874,12.663829787234052,25.68014184397163,75.17021276595744,25.882978723404253,25.490070921985822,281.21276595744683,,,4.823404255319151,4.126241134751773,1189.1985815602834,0.0,0,1,0,0,0,0,0,0,3.814893617021277,219.5886524822695,1.873758865248228,23.61702127659575,26.90212765957447,66.82978723404256,27.097163120567387,26.722695035460987,,,,2.9028368794326247,2.102836879432624,1189.3617021276596,0.0,0,1,0,0,0,0,0,0,5.082269503546098,243.12765957446808,2.931205673758865,17.087943262411347,26.410638297872357,71.64539007092198,26.558865248226947,26.27163120567378,,,,3.929078014184398,3.1184397163120567,1188.3049645390072,0.0,0,1,0,0,0,0,0,0,3.7049645390070913,214.87234042553192,2.228368794326241,18.885815602836878,27.012056737588647,69.29787234042553,27.232624113475186,26.790070921985826,,,,2.97659574468085,2.36950354609929,1171.4184397163122,0.0,0,0,0,1,0,0,0,0,5.822695035460992,233.39007092198585,3.8163120567375888,15.009929078014178,25.224113475177287,68.60283687943263,25.37446808510638,25.08085106382979,,,,4.779432624113475,4.0085106382978735,1189.1702127659576,0.0,0,1,0,0,0,0,0,0
2019-08-08,,,,,26.01388888888888,74.0763888888889,26.17361111111111,25.85833333333333,299.9236111111111,261.28472222222223,74.71527777777777,,,,0.0,1,0,0,0,0,0,0,0,0,6.89375,263.7083333333333,4.516666666666667,13.721527777777775,24.17777777777778,81.60416666666667,24.309027777777786,24.05624999999999,278.0,,,5.621527777777777,4.715972222222224,1181.3680555555557,0.0,0,0,1,0,0,0,0,0,,,,,28.45,66.85416666666667,28.668055555555547,28.244444444444433,,,,,,,0.0,1,0,0,0,0,0,0,0,0,3.49236111111111,205.57638888888889,1.9388888888888884,17.994444444444458,26.595833333333346,76.65972222222223,26.831250000000008,26.381944444444446,,,,2.764583333333334,2.114583333333332,1182.0208333333333,0.0,0,1,0,0,0,0,0,0,4.031944444444443,251.77777777777774,1.9812500000000008,20.62569444444446,27.23333333333336,73.16666666666667,27.440277777777787,27.04722222222223,,,,3.00625,2.1999999999999993,1182.0972222222224,0.0,0,1,0,0,0,0,0,0,5.549305555555557,256.4236111111111,3.8444444444444437,11.742361111111109,25.71597222222222,79.54166666666667,25.93125,25.520138888888894,297.2013888888889,,,4.695138888888888,4.043055555555553,1166.25,0.0,0,1,0,0,0,0,0,0,4.2798611111111144,259.1805555555556,2.1701388888888893,21.59236111111111,27.476388888888888,69.83333333333333,27.665972222222237,27.302777777777766,,,,3.1451388888888903,2.3756944444444437,1182.5833333333333,0.0,0,1,0,0,0,0,0,0,4.6340277777777805,247.70833333333331,2.6916666666666664,16.030555555555555,26.453472222222217,75.65972222222223,26.59513888888889,26.309027777777768,,,,3.5881944444444436,2.8673611111111104,1180.923611111111,0.0,0,1,0,0,0,0,0,0,3.526388888888889,234.4375,2.090972222222223,19.331250000000004,26.82500000000001,77.13194444444444,27.05972222222222,26.60416666666665,,,,2.7972222222222225,2.2500000000000004,1182.736111111111,0.0,0,0,0,1,0,0,0,0,7.927777777777778,289.0,5.321527777777779,11.475694444444446,25.243749999999995,79.71527777777777,25.386805555555547,25.11111111111111,,,,6.461805555555557,5.534027777777778,1181.826388888889,0.0,1,0,0,0,0,0,0,0
2019-08-09,,,,,26.37222222222221,73.06944444444444,26.50833333333333,26.24027777777778,330.0416666666667,364.40972222222223,44.97916666666666,,,,0.0,1,0,0,0,0,0,0,0,0,9.790972222222218,247.09027777777774,6.544444444444448,15.602083333333342,23.882638888888877,83.94444444444444,24.009722222222212,23.749999999999996,303.7083333333333,,,7.8909722222222225,6.82777777777778,1181.8194444444443,0.0,0,0,1,0,0,0,0,0,,,,,28.868055555555557,67.05555555555556,29.08472222222223,28.66180555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0,4.0875,212.65277777777774,2.1326388888888874,18.6875,27.562500000000004,75.19444444444444,27.81875000000001,27.30138888888888,,,,3.0687500000000005,2.3277777777777793,1181.4166666666667,0.0,0,1,0,0,0,0,0,0,4.600694444444441,265.9236111111111,2.1708333333333343,26.06041666666667,28.42430555555556,69.69444444444444,28.62013888888889,28.26736111111112,,,,3.334722222222221,2.388194444444444,1167.4791666666667,0.0,0,1,0,0,0,0,0,0,7.487499999999998,241.35416666666663,5.232638888888891,11.268055555555543,25.7375,81.59027777777777,25.91180555555555,25.57430555555554,324.6944444444445,,,6.247222222222218,5.438194444444443,1165.6805555555557,0.0,0,1,0,0,0,0,0,0,4.874999999999999,238.25,2.6611111111111105,17.42916666666666,27.811805555555548,69.9375,27.974305555555553,27.648611111111112,,,,3.754166666666667,2.860416666666668,1164.826388888889,0.0,0,1,0,0,0,0,0,0,5.6868055555555586,246.22222222222226,3.3180555555555555,16.190972222222232,26.590972222222234,76.61805555555556,26.72083333333333,26.451388888888893,,,,4.367361111111111,3.50138888888889,1181.9930555555557,0.0,0,1,0,0,0,0,0,0,4.397222222222221,242.23611111111111,2.574305555555556,20.011805555555547,27.96319444444445,74.16666666666667,28.247222222222234,27.67083333333333,,,,3.515277777777777,2.767361111111111,1166.0347222222224,0.0,0,0,0,1,0,0,0,0,8.106250000000003,284.7569444444445,5.537500000000002,11.46458333333333,25.409722222222218,78.40972222222223,25.55069444444446,25.292361111111106,,,,6.681250000000001,5.740277777777782,1165.298611111111,0.0,1,0,0,0,0,0,0,0
