,TD_tomorrow
2017-03-03,13.347916666666665
2018-12-23,14.789583333333333
2017-10-30,20.55069444444445
2017-07-26,28.03125000000001
2016-04-25,26.96875
2016-02-13,16.04236111111112
2016-07-03,25.845138888888894
2017-12-08,12.940277777777775
2016-03-08,22.07777777777779
2019-03-04,13.33958333333333
2016-03-17,13.831249999999995
2017-03-06,15.022916666666665
2018-07-19,25.85902777777779
2019-07-03,25.37777777777778
2017-06-22,23.46388888888889
2016-06-12,24.530555555555548
2017-11-24,16.381944444444457
2016-07-27,26.179861111111126
2018-07-23,27.363194444444442
2017-12-22,19.437500000000004
2017-02-24,15.877777777777775
2017-07-29,25.668055555555558
2016-11-02,18.28819444444445
2016-06-24,26.896527777777766
2019-09-23,23.58125
2016-12-08,10.731944444444443
2018-03-17,20.12335203309761
2018-11-20,18.693750000000005
2016-02-19,15.919444444444444
2017-01-12,12.483333333333327
2016-08-28,26.215972222222234
2019-09-15,24.841428571428576
2018-03-19,20.12335203309761
2018-03-29,14.894444444444444
2018-08-21,25.956250000000008
2017-08-01,27.041228070175446
2017-11-04,18.62430555555557
2016-02-21,13.010416666666664
2018-01-06,12.779166666666665
2018-05-11,19.528472222222238
2016-03-19,15.982638888888893
2016-08-19,26.700694444444434
2019-06-22,24.54444444444445
2019-09-13,25.095833333333324
2017-10-22,20.126388888888886
2017-02-27,19.125
2019-06-01,24.39236111111112
2017-08-21,26.219444444444445
2019-02-17,10.391428571428564
2016-08-06,26.761805555555547
2016-12-29,12.07847222222222
2017-01-09,8.988888888888887
2017-08-19,26.17430555555556
2016-02-02,13.708450704225347
2018-04-18,20.697916666666664
2017-07-24,27.371527777777768
2017-02-14,8.892361111111107
2018-04-19,18.225694444444443
2019-05-11,20.57916666666668
2018-02-09,19.122222222222213
2016-04-11,15.590277777777779
2018-03-09,14.82847222222222
2016-09-04,25.068750000000016
2019-09-25,23.931249999999984
2016-12-24,10.205555555555554
2016-12-27,10.468749999999996
2016-06-17,26.261111111111113
2017-09-23,20.12335203309761
2019-04-07,19.03680555555556
2017-08-14,26.45833333333334
2019-08-18,25.32500000000001
2017-11-26,16.74722222222223
2017-12-31,11.431944444444447
2019-05-30,28.28124999999999
2016-12-10,14.832638888888892
2016-09-22,24.43125
2019-07-06,25.855395683453235
2019-01-06,10.794444444444439
2018-11-21,17.852083333333336
2016-03-04,15.78541666666667
2016-10-24,21.685915492957765
2017-06-11,22.644444444444453
2016-10-04,23.29861111111111
2017-01-25,13.085416666666667
2016-02-14,19.169444444444444
2018-02-13,13.234027777777786
2019-02-02,13.138888888888884
2018-08-06,25.85625000000001
2017-12-15,15.562500000000005
2016-10-23,21.977083333333322
2017-04-26,18.990909090909078
2017-10-11,20.986111111111104
2019-03-20,16.045833333333334
2019-05-07,16.82916666666666
2019-05-13,23.56666666666666
2018-04-06,19.428472222222226
2018-01-15,13.832638888888892
2017-08-04,25.26458333333333
2018-01-01,15.332638888888884
2017-11-03,18.550694444444453
2019-05-25,20.188888888888886
2018-03-10,14.628472222222214
2016-11-05,18.08125
2018-09-14,24.58472222222225
2018-08-04,25.834722222222236
2016-12-19,8.836805555555555
2018-03-22,20.12335203309761
2016-10-30,21.908391608391614
2019-05-29,29.582638888888887
2018-09-13,24.893055555555573
2016-12-31,10.030555555555557
2017-08-12,26.746527777777786
2018-03-04,19.754861111111122
2017-06-16,24.004861111111122
2019-06-10,25.602777777777767
2019-05-19,20.69930555555555
2019-03-19,14.98402777777778
2019-09-26,24.589583333333355
2016-09-18,25.093055555555555
2017-12-19,19.795833333333324
2019-09-05,25.572222222222237
2018-12-04,15.668749999999992
2017-07-27,26.663888888888913
2018-05-07,17.967361111111092
2018-11-01,22.534722222222207
2018-02-06,16.244444444444447
2016-03-06,18.996527777777786
2017-05-01,18.761111111111106
2019-06-07,22.80347222222222
2018-07-01,24.51041666666667
2016-08-21,26.368749999999995
2019-01-30,13.132638888888884
2018-10-20,21.837500000000023
2016-02-28,20.436111111111103
2017-03-05,15.915972222222221
2017-09-30,23.425694444444453
2016-01-24,8.083333333333325
2016-04-17,19.595138888888897
2016-09-01,25.43958333333332
2019-01-07,10.620833333333334
2017-08-25,25.42786885245901
2018-12-26,12.463888888888896
2018-05-12,19.483333333333345
2017-03-04,13.645833333333329
2017-03-27,14.421527777777774
2018-06-11,23.1326388888889
2017-11-13,19.58194444444446
2018-08-16,25.57638888888891
2017-07-02,29.60833333333333
2017-05-05,18.902777777777775
2018-01-25,7.308333333333337
2019-08-01,26.17638888888888
2019-06-28,25.22013888888889
2016-03-22,18.353472222222226
2019-01-13,11.747222222222213
2018-12-21,13.840972222222213
2018-12-16,15.475694444444455
2018-10-19,22.94722222222222
2019-07-26,26.115972222222208
2019-03-14,14.352777777777774
2018-02-20,14.80833333333333
2018-04-03,17.293055555555547
2017-04-03,17.662500000000012
2016-09-27,23.38194444444443
2018-03-14,14.49097222222222
2018-05-24,24.3388888888889
2018-09-15,24.49097222222222
2017-05-12,21.7375
2019-08-14,26.824305555555572
2017-04-27,18.401388888888885
2019-02-05,14.852777777777774
2019-08-20,26.300694444444453
2016-07-11,26.821527777777767
2018-06-19,24.07916666666668
2019-09-20,24.202777777777786
2018-05-17,30.874305555555548
2019-02-16,11.290277777777774
2016-07-15,26.177083333333336
2018-12-11,15.822222222222214
2019-08-04,26.738194444444453
2017-09-21,20.12335203309761
2017-03-11,15.763888888888884
2018-03-27,23.92758620689654
2018-01-29,11.576388888888884
2019-05-02,18.23472222222221
2017-03-15,12.80694444444444
2016-02-26,16.095833333333335
2017-11-11,20.354166666666668
2018-10-27,19.322222222222226
2017-08-11,26.20972222222222
2019-06-15,23.968055555555555
2017-04-07,15.46666666666668
2017-09-11,26.08472222222222
2017-08-06,26.63472222222221
2016-03-27,13.988194444444444
2016-05-03,19.787500000000005
2019-07-23,26.159027777777766
2018-07-12,25.440972222222214
2016-12-05,15.061111111111117
2016-11-27,16.862500000000008
2019-09-17,25.274999999999995
2017-09-18,20.12335203309761
2016-11-12,20.106944444444434
2018-07-25,25.88958333333333
2017-07-14,27.468055555555555
2016-05-08,18.96805555555556
2018-07-28,25.94027777777779
2017-02-26,18.788194444444443
2017-07-03,28.813194444444452
2017-09-09,25.790972222222226
2016-09-11,26.051388888888887
2018-02-03,16.466666666666672
2017-04-24,15.484722222222226
2016-06-23,26.85625000000001
2019-05-21,27.72777777777778
2019-04-03,14.654861111111117
2016-08-25,26.411805555555553
2018-12-14,15.825694444444444
2018-04-27,19.29861111111111
2018-07-06,26.15069444444445
2018-10-23,25.584722222222208
2016-01-30,12.250000000000002
2016-08-08,26.993749999999995
2016-11-18,20.227083333333358
2016-08-27,26.34652777777778
2016-10-16,23.07222222222221
2019-01-01,12.82916666666666
2016-02-01,13.31875
2017-01-17,14.51388888888888
2016-07-29,26.95069444444445
2018-07-03,24.74513888888889
2019-07-27,25.82569444444445
2017-01-06,13.36180555555555
2018-03-21,20.12335203309761
2016-08-09,27.04444444444445
2017-09-16,24.42708333333333
2017-11-09,17.90694444444445
2018-09-09,25.32500000000001
2016-03-11,14.954861111111107
2018-11-02,21.665972222222237
2017-04-09,14.697916666666671
2018-09-12,25.784722222222214
2019-04-11,15.908333333333335
2017-04-23,15.697916666666664
2018-02-22,14.90208333333333
2018-07-21,26.019444444444428
2016-11-08,24.35694444444444
2016-09-16,25.33680555555555
2017-11-01,18.48750000000001
2018-07-22,26.656944444444427
2018-04-25,16.306249999999995
2016-07-17,26.03333333333333
2016-02-18,19.865277777777774
2019-07-29,25.820138888888888
2016-04-23,22.35625000000001
2016-06-04,26.457638888888887
2018-08-24,25.97916666666667
2017-06-26,26.804166666666678
2016-10-02,28.1513888888889
2017-11-07,19.999305555555566
2017-05-21,22.31875
2017-12-13,16.577083333333334
2018-08-02,26.57569444444445
2017-06-27,25.658333333333324
2017-05-08,28.10694444444444
2019-01-11,12.635416666666664
2016-12-20,10.317361111111124
2018-10-06,23.63194444444445
2018-12-15,16.052777777777766
2019-01-02,13.135416666666654
2018-02-16,10.935416666666665
2017-04-22,16.77916666666666
2017-09-12,26.734027777777786
2017-06-12,22.56716417910448
