,,,,,,,,,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,East,North,West,South-West,South,WSmax_1,WSmax_2,WSmax_3,WDmax_1,WDmax_2,WDmax_3,WS_1,WS_2,WS_3,STDwd_1,STDwd_2,STDwd_3,TD_1,TD_2,TD_3,RH_1,RH_2,RH_3,TDmax_1,TDmax_2,TDmax_3,TDmin_1,TDmin_2,TDmin_3,Grad_1,Grad_2,Grad_3,NIP_1,NIP_2,NIP_3,DiffR_1,DiffR_2,DiffR_3,WS1mm_1,WS1mm_2,WS1mm_3,Ws10mm_1,Ws10mm_2,Ws10mm_3,Time_1,Time_2,Time_3,Rain_1,Rain_2,Rain_3,North-East_1,North-East_2,North-East_3,North-West_1,North-West_2,North-West_3,South-East_1,South-East_2,South-East_3,East_1,East_2,East_3,North_1,North_2,North_3,West_1,West_2,West_3,South-West_1,South-West_2,South-West_3,South_1,South_2,South_3
2019,7,1,0,0,0,0,182,-1,4.855944055944053,145.26573426573427,2.691608391608392,17.87622377622377,32.76643356643357,33.47552447552447,32.94055944055944,32.60559440559439,346.56643356643355,367.89917082656626,59.50349650349651,3.7384615384615394,2.9209790209790203,1174.2517482517483,0.0,0,1,0,0,0,0,0,0,4.727054826893537,4.721243691493691,4.722886194265504,105.2918509805607,106.3238015688016,108.11849204435414,2.623429903429905,2.619187752062753,2.618173153474879,18.704170663565826,18.759217093092094,18.840737031168064,32.43270267367043,32.37582073482074,32.33229060690268,30.818488993085772,30.97117988492989,31.076268463337435,32.611602129948906,32.554529660154664,32.511199265294096,32.26079034316937,32.20393556906056,32.160560741940046,343.27500720605565,343.49482226107233,343.70345597888706,367.89917082656626,366.4725642187952,366.12256529314806,56.74095882788475,56.80014819622165,56.99464564360094,3.584080041821978,3.5802854876604884,3.5823355619476316,2.8314808489002044,2.8278311364561373,2.8277611373301035,1179.0495271753334,1178.9606688219185,1179.405912191257,0.0,0.0,0.0,0.41935483870967744,0.4,0.3793103448275862,0.5806451612903226,0.6,0.6206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,2,0,0,0,1,183,-1,5.220138888888888,92.8125,2.9263888888888894,17.04791666666667,31.67152777777779,27.569444444444443,31.86111111111113,31.51458333333335,356.3541666666667,367.89917082656626,45.63194444444444,3.943749999999999,3.1472222222222235,1181.2847222222222,0.0,0,1,0,0,0,0,0,0,4.855944055944053,4.721243691493691,4.722886194265504,145.26573426573427,106.3238015688016,108.11849204435414,2.691608391608392,2.619187752062753,2.618173153474879,17.87622377622377,18.759217093092094,18.840737031168064,32.76643356643357,32.37582073482074,32.33229060690268,33.47552447552447,30.97117988492989,31.076268463337435,32.94055944055944,32.554529660154664,32.511199265294096,32.60559440559439,32.20393556906056,32.160560741940046,346.56643356643355,343.49482226107233,343.70345597888706,367.89917082656626,366.4725642187952,366.12256529314806,59.50349650349651,56.80014819622165,56.99464564360094,3.7384615384615394,3.5802854876604884,3.5823355619476316,2.9209790209790203,2.8278311364561373,2.8277611373301035,1174.2517482517483,1178.9606688219185,1179.405912191257,0.0,0.0,0.0,0.0,0.4,0.3793103448275862,1.0,0.6,0.6206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,3,0,0,0,2,184,-1,4.9333333333333345,74.53472222222223,2.7666666666666675,16.478472222222223,31.118055555555557,23.34027777777778,31.295138888888896,30.944444444444425,365.8125,275.49056603773585,39.916666666666664,3.7194444444444463,2.9694444444444437,1183.2777777777778,0.0,1,0,0,0,0,0,0,0,5.220138888888888,4.855944055944053,4.722886194265504,92.8125,145.26573426573427,108.11849204435414,2.9263888888888894,2.691608391608392,2.618173153474879,17.04791666666667,17.87622377622377,18.840737031168064,31.67152777777779,32.76643356643357,32.33229060690268,27.569444444444443,33.47552447552447,31.076268463337435,31.86111111111113,32.94055944055944,32.511199265294096,31.51458333333335,32.60559440559439,32.160560741940046,356.3541666666667,346.56643356643355,343.70345597888706,367.89917082656626,366.4725642187952,366.12256529314806,45.63194444444444,59.50349650349651,56.99464564360094,3.943749999999999,3.7384615384615394,3.5823355619476316,3.1472222222222235,2.9209790209790203,2.8277611373301035,1181.2847222222222,1174.2517482517483,1179.405912191257,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,1.0,1.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,4,0,0,0,3,185,-1,5.50138888888889,76.78472222222223,3.1236111111111113,15.767361111111114,31.28611111111111,27.104166666666668,31.46249999999999,31.115972222222222,353.05555555555554,398.8943661971831,52.583333333333336,4.120138888888888,3.320833333333333,1182.5972222222222,0.0,1,0,0,0,0,0,0,0,4.9333333333333345,5.220138888888888,4.855944055944053,74.53472222222223,92.8125,145.26573426573427,2.7666666666666675,2.9263888888888894,2.691608391608392,16.478472222222223,17.04791666666667,17.87622377622377,31.118055555555557,31.67152777777779,32.76643356643357,23.34027777777778,27.569444444444443,33.47552447552447,31.295138888888896,31.86111111111113,32.94055944055944,30.944444444444425,31.51458333333335,32.60559440559439,365.8125,356.3541666666667,346.56643356643355,275.49056603773585,366.4725642187952,366.12256529314806,39.916666666666664,45.63194444444444,59.50349650349651,3.7194444444444463,3.943749999999999,3.7384615384615394,2.9694444444444437,3.1472222222222235,2.9209790209790203,1183.2777777777778,1181.2847222222222,1174.2517482517483,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,5,0,0,0,4,186,-1,5.567361111111112,84.14583333333333,3.1659722222222224,16.05624999999999,31.08888888888889,34.298611111111114,31.24652777777778,30.923611111111093,347.1875,378.65492957746477,55.423611111111114,4.2041666666666675,3.3715277777777777,1183.3819444444443,0.0,1,0,0,0,0,0,0,0,5.50138888888889,4.9333333333333345,5.220138888888888,76.78472222222223,74.53472222222223,92.8125,3.1236111111111113,2.7666666666666675,2.9263888888888894,15.767361111111114,16.478472222222223,17.04791666666667,31.28611111111111,31.118055555555557,31.67152777777779,27.104166666666668,23.34027777777778,27.569444444444443,31.46249999999999,31.295138888888896,31.86111111111113,31.115972222222222,30.944444444444425,31.51458333333335,353.05555555555554,365.8125,356.3541666666667,398.8943661971831,275.49056603773585,366.12256529314806,52.583333333333336,39.916666666666664,45.63194444444444,4.120138888888888,3.7194444444444463,3.943749999999999,3.320833333333333,2.9694444444444437,3.1472222222222235,1182.5972222222222,1183.2777777777778,1181.2847222222222,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,6,0,0,0,5,187,-1,4.694444444444444,126.11805555555556,2.5881944444444454,16.78680555555556,31.897916666666667,31.118055555555557,32.073611111111134,31.739583333333353,354.34027777777777,407.63380281690144,49.173611111111114,3.5368055555555564,2.779166666666667,1182.4583333333333,0.0,0,1,0,0,0,0,0,0,5.567361111111112,5.50138888888889,4.9333333333333345,84.14583333333333,76.78472222222223,74.53472222222223,3.1659722222222224,3.1236111111111113,2.7666666666666675,16.05624999999999,15.767361111111114,16.478472222222223,31.08888888888889,31.28611111111111,31.118055555555557,34.298611111111114,27.104166666666668,23.34027777777778,31.24652777777778,31.46249999999999,31.295138888888896,30.923611111111093,31.115972222222222,30.944444444444425,347.1875,353.05555555555554,365.8125,378.65492957746477,398.8943661971831,275.49056603773585,55.423611111111114,52.583333333333336,39.916666666666664,4.2041666666666675,4.120138888888888,3.7194444444444463,3.3715277777777777,3.320833333333333,2.9694444444444437,1183.3819444444443,1182.5972222222222,1183.2777777777778,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,7,0,0,0,6,188,-1,4.183571428571428,144.47142857142856,2.327142857142856,21.104285714285712,32.50142857142856,28.257142857142856,32.703571428571415,32.311428571428564,354.45,385.55970149253733,52.74285714285714,3.288571428571428,2.563571428571427,1197.8142857142857,0.0,0,1,0,0,0,0,0,0,4.694444444444444,5.567361111111112,5.50138888888889,126.11805555555556,84.14583333333333,76.78472222222223,2.5881944444444454,3.1659722222222224,3.1236111111111113,16.78680555555556,16.05624999999999,15.767361111111114,31.897916666666667,31.08888888888889,31.28611111111111,31.118055555555557,34.298611111111114,27.104166666666668,32.073611111111134,31.24652777777778,31.46249999999999,31.739583333333353,30.923611111111093,31.115972222222222,354.34027777777777,347.1875,353.05555555555554,407.63380281690144,378.65492957746477,398.8943661971831,49.173611111111114,55.423611111111114,52.583333333333336,3.5368055555555564,4.2041666666666675,4.120138888888888,2.779166666666667,3.3715277777777777,3.320833333333333,1182.4583333333333,1183.3819444444443,1182.5972222222222,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,8,0,0,0,0,189,-1,3.9208333333333343,149.25694444444446,2.0666666666666655,25.156250000000004,32.33958333333333,35.798611111111114,32.54722222222223,32.156944444444456,353.9513888888889,404.35915492957747,49.82442748091603,3.0152777777777766,2.322222222222222,1182.4444444444443,0.0,0,1,0,0,0,0,0,0,4.183571428571428,4.694444444444444,5.567361111111112,144.47142857142856,126.11805555555556,84.14583333333333,2.327142857142856,2.5881944444444454,3.1659722222222224,21.104285714285712,16.78680555555556,16.05624999999999,32.50142857142856,31.897916666666667,31.08888888888889,28.257142857142856,31.118055555555557,34.298611111111114,32.703571428571415,32.073611111111134,31.24652777777778,32.311428571428564,31.739583333333353,30.923611111111093,354.45,354.34027777777777,347.1875,385.55970149253733,407.63380281690144,378.65492957746477,52.74285714285714,49.173611111111114,55.423611111111114,3.288571428571428,3.5368055555555564,4.2041666666666675,2.563571428571427,2.779166666666667,3.3715277777777777,1197.8142857142857,1182.4583333333333,1183.3819444444443,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,9,0,0,0,1,190,-1,4.188888888888886,111.45138888888889,2.2673611111111125,21.23333333333333,32.64097222222222,32.0,32.829861111111114,32.45138888888891,352.59722222222223,395.40425531914894,50.109375,3.1874999999999987,2.4847222222222225,1164.9097222222222,0.0,0,1,0,0,0,0,0,0,3.9208333333333343,4.183571428571428,4.694444444444444,149.25694444444446,144.47142857142856,126.11805555555556,2.0666666666666655,2.327142857142856,2.5881944444444454,25.156250000000004,21.104285714285712,16.78680555555556,32.33958333333333,32.50142857142856,31.897916666666667,35.798611111111114,28.257142857142856,31.118055555555557,32.54722222222223,32.703571428571415,32.073611111111134,32.156944444444456,32.311428571428564,31.739583333333353,353.9513888888889,354.45,354.34027777777777,404.35915492957747,385.55970149253733,407.63380281690144,49.82442748091603,52.74285714285714,49.173611111111114,3.0152777777777766,3.288571428571428,3.5368055555555564,2.322222222222222,2.563571428571427,2.779166666666667,1182.4444444444443,1197.8142857142857,1182.4583333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,10,0,0,0,2,191,-1,3.784722222222223,108.91666666666667,2.157638888888889,18.44791666666667,32.98819444444447,23.29861111111111,33.212500000000006,32.775,358.6041666666667,423.46478873239437,44.78740157480315,2.9944444444444436,2.361805555555556,1165.5555555555557,0.0,0,1,0,0,0,0,0,0,4.188888888888886,3.9208333333333343,4.183571428571428,111.45138888888889,149.25694444444446,144.47142857142856,2.2673611111111125,2.0666666666666655,2.327142857142856,21.23333333333333,25.156250000000004,21.104285714285712,32.64097222222222,32.33958333333333,32.50142857142856,32.0,35.798611111111114,28.257142857142856,32.829861111111114,32.54722222222223,32.703571428571415,32.45138888888891,32.156944444444456,32.311428571428564,352.59722222222223,353.9513888888889,354.45,395.40425531914894,404.35915492957747,385.55970149253733,50.109375,49.82442748091603,52.74285714285714,3.1874999999999987,3.0152777777777766,3.288571428571428,2.4847222222222225,2.322222222222222,2.563571428571427,1164.9097222222222,1182.4444444444443,1197.8142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,11,0,0,0,3,192,-1,4.446527777777778,82.02777777777777,2.5027777777777778,18.715972222222227,34.49027777777778,24.15277777777778,34.66805555555557,34.308333333333344,352.30555555555554,399.36879432624113,48.04032258064516,3.4125000000000014,2.704861111111112,1182.3819444444443,0.0,0,1,0,0,0,0,0,0,3.784722222222223,4.188888888888886,3.9208333333333343,108.91666666666667,111.45138888888889,149.25694444444446,2.157638888888889,2.2673611111111125,2.0666666666666655,18.44791666666667,21.23333333333333,25.156250000000004,32.98819444444447,32.64097222222222,32.33958333333333,23.29861111111111,32.0,35.798611111111114,33.212500000000006,32.829861111111114,32.54722222222223,32.775,32.45138888888891,32.156944444444456,358.6041666666667,352.59722222222223,353.9513888888889,423.46478873239437,395.40425531914894,404.35915492957747,44.78740157480315,50.109375,49.82442748091603,2.9944444444444436,3.1874999999999987,3.0152777777777766,2.361805555555556,2.4847222222222225,2.322222222222222,1165.5555555555557,1164.9097222222222,1182.4444444444443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,12,0,0,0,4,193,-1,4.589583333333332,134.57638888888889,2.5597222222222213,20.67430555555555,34.80277777777777,24.354166666666668,35.02916666666667,34.595138888888876,344.2916666666667,334.5492957746479,68.00806451612904,3.5687499999999996,2.7888888888888896,1182.2291666666667,0.0,0,1,0,0,0,0,0,0,4.446527777777778,3.784722222222223,4.188888888888886,82.02777777777777,108.91666666666667,111.45138888888889,2.5027777777777778,2.157638888888889,2.2673611111111125,18.715972222222227,18.44791666666667,21.23333333333333,34.49027777777778,32.98819444444447,32.64097222222222,24.15277777777778,23.29861111111111,32.0,34.66805555555557,33.212500000000006,32.829861111111114,34.308333333333344,32.775,32.45138888888891,352.30555555555554,358.6041666666667,352.59722222222223,399.36879432624113,423.46478873239437,395.40425531914894,48.04032258064516,44.78740157480315,50.109375,3.4125000000000014,2.9944444444444436,3.1874999999999987,2.704861111111112,2.361805555555556,2.4847222222222225,1182.3819444444443,1165.5555555555557,1164.9097222222222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,13,0,0,0,5,194,-1,4.7861111111111105,148.80555555555554,2.651388888888889,20.2625,33.00902777777779,31.729166666666668,33.18125,32.831944444444446,346.63194444444446,376.80281690140845,55.829268292682926,3.6645833333333337,2.884027777777778,1181.4652777777778,0.0,0,1,0,0,0,0,0,0,4.589583333333332,4.446527777777778,3.784722222222223,134.57638888888889,82.02777777777777,108.91666666666667,2.5597222222222213,2.5027777777777778,2.157638888888889,20.67430555555555,18.715972222222227,18.44791666666667,34.80277777777777,34.49027777777778,32.98819444444447,24.354166666666668,24.15277777777778,23.29861111111111,35.02916666666667,34.66805555555557,33.212500000000006,34.595138888888876,34.308333333333344,32.775,344.2916666666667,352.30555555555554,358.6041666666667,334.5492957746479,399.36879432624113,423.46478873239437,68.00806451612904,48.04032258064516,44.78740157480315,3.5687499999999996,3.4125000000000014,2.9944444444444436,2.7888888888888896,2.704861111111112,2.361805555555556,1182.2291666666667,1182.3819444444443,1165.5555555555557,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,14,0,0,0,6,195,-1,5.057638888888887,53.71527777777778,2.792361111111111,17.854166666666664,31.62430555555555,30.20138888888889,31.7888888888889,31.460416666666667,358.1875,429.27142857142854,39.122950819672134,3.7659722222222203,2.977777777777778,1182.5069444444443,0.0,1,0,0,0,0,0,0,0,4.7861111111111105,4.589583333333332,4.446527777777778,148.80555555555554,134.57638888888889,82.02777777777777,2.651388888888889,2.5597222222222213,2.5027777777777778,20.2625,20.67430555555555,18.715972222222227,33.00902777777779,34.80277777777777,34.49027777777778,31.729166666666668,24.354166666666668,24.15277777777778,33.18125,35.02916666666667,34.66805555555557,32.831944444444446,34.595138888888876,34.308333333333344,346.63194444444446,344.2916666666667,352.30555555555554,376.80281690140845,334.5492957746479,399.36879432624113,55.829268292682926,68.00806451612904,48.04032258064516,3.6645833333333337,3.5687499999999996,3.4125000000000014,2.884027777777778,2.7888888888888896,2.704861111111112,1181.4652777777778,1182.2291666666667,1182.3819444444443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,7,15,0,0,0,0,196,-1,4.548951048951051,103.16083916083916,2.5587412587412577,18.162937062937054,31.22797202797203,34.51048951048951,31.398601398601404,31.07342657342656,352.53846153846155,413.1654676258993,40.98347107438016,3.4601398601398596,2.7650349650349644,1178.2307692307693,0.0,1,0,0,0,0,0,0,0,5.057638888888887,4.7861111111111105,4.589583333333332,53.71527777777778,148.80555555555554,134.57638888888889,2.792361111111111,2.651388888888889,2.5597222222222213,17.854166666666664,20.2625,20.67430555555555,31.62430555555555,33.00902777777779,34.80277777777777,30.20138888888889,31.729166666666668,24.354166666666668,31.7888888888889,33.18125,35.02916666666667,31.460416666666667,32.831944444444446,34.595138888888876,358.1875,346.63194444444446,344.2916666666667,429.27142857142854,376.80281690140845,334.5492957746479,39.122950819672134,55.829268292682926,68.00806451612904,3.7659722222222203,3.6645833333333337,3.5687499999999996,2.977777777777778,2.884027777777778,2.7888888888888896,1182.5069444444443,1181.4652777777778,1182.2291666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
